date,order_id,product,category,region,manager,channel,quantity,price,discount,revenue,cost,profit,customer_id,brand,warehouse,returns,status
2026-05-08,LUX-10000,Шелковый платок,Брендовые вещи,Шымкент,Сатпаева А.,Бутик,1,1369175.36,0,1369175.36,352842.63,1016332.73,VIP-227,Brand_Бре,Склад-Шым,0,completed
2025-12-30,LUX-10001,Часы Rolex,Аксессуары,Шымкент,Ахметова Д.,Бутик,1,1045512.15,0,1045512.15,307732.34,737779.81,VIP-662,Brand_Акс,Склад-Шым,0,completed
2026-02-06,LUX-10002,Очки Ray-Ban,Аксессуары,Алматы,Сатпаева А.,Бутик,1,547858.84,0,547858.84,184096.68,363762.16,VIP-913,Brand_Акс,Склад-Алм,0,completed
2025-11-28,LUX-10003,Клатч вечерний,Аксессуары,Астана,Сатпаева А.,Бутик,1,1520213.1,5,1444202.45,443394.29,1000808.16,VIP-32,Brand_Акс,Склад-Аст,0,completed
2026-01-20,LUX-10004,Chanel No 5,Парфюмерия,Шымкент,Ахметова Д.,Онлайн-магазин,1,168502.8,0,168502.8,38781.21,129721.58,VIP-755,Brand_Пар,Склад-Шым,0,completed
2026-01-16,LUX-10005,Очки Ray-Ban,Аксессуары,Атырау,Омаров Т.,VIP-клиенты,1,452571.06,0,452571.06,91052.57,361518.49,VIP-42,Brand_Акс,Склад-Аты,0,completed
2026-05-05,LUX-10006,Jo Malone Wood Sage,Парфюмерия,Атырау,Ким А.,VIP-клиенты,1,200974.53,0,200974.53,72038.69,128935.85,VIP-193,Brand_Пар,Склад-Аты,0,completed
2025-10-25,LUX-10007,Очки Ray-Ban,Аксессуары,Алматы,Ахметова Д.,VIP-клиенты,1,811779.22,0,811779.22,251705.77,560073.45,VIP-484,Brand_Акс,Склад-Алм,0,cancelled
2025-08-13,LUX-10008,Пиджак кроя Slim,Брендовые вещи,Шымкент,Ким А.,Бутик,1,425318.87,0,425318.87,94607.3,330711.57,VIP-932,Brand_Бре,Склад-Шым,0,cancelled
2025-12-25,LUX-10009,Сумка Birkin,Брендовые вещи,Шымкент,Ахметова Д.,Бутик,1,1532272.96,0,1532272.96,507470.44,1024802.52,VIP-354,Brand_Бре,Склад-Шым,0,completed
2025-11-14,LUX-10010,Dior Sauvage,Парфюмерия,Астана,Омаров Т.,Бутик,1,87311.1,0,87311.1,33076.24,54234.86,VIP-65,Brand_Пар,Склад-Аст,0,completed
2025-11-04,LUX-10011,Золотая цепь,Ювелирные изделия,Астана,Ким А.,Бутик,1,1182689.87,0,1182689.87,393857.95,788831.92,VIP-713,Brand_Юве,Склад-Аст,0,completed
2026-01-17,LUX-10012,Платье Haute Couture,Брендовые вещи,Атырау,Омаров Т.,Бутик,1,788872.26,0,788872.26,226426.11,562446.15,VIP-314,Brand_Бре,Склад-Аты,0,completed
2025-08-04,LUX-10013,Сумка Birkin,Брендовые вещи,Актау,Омаров Т.,VIP-клиенты,1,1029543.69,0,1029543.69,319723.61,709820.08,VIP-44,Brand_Бре,Склад-Акт,0,completed
2026-03-10,LUX-10014,Кольцо с бриллиантом,Ювелирные изделия,Атырау,Сатпаева А.,VIP-клиенты,1,1337857.54,0,1337857.54,437690.69,900166.86,VIP-900,Brand_Юве,Склад-Аты,0,completed
2025-11-28,LUX-10015,Кольцо с бриллиантом,Ювелирные изделия,Актау,Сатпаева А.,Бутик,1,847292.56,0,847292.56,240147.7,607144.86,VIP-254,Brand_Юве,Склад-Акт,0,completed
2026-01-13,LUX-10016,Шелковый платок,Брендовые вещи,Алматы,Ахметова Д.,VIP-клиенты,1,1530216.89,0,1530216.89,485793.0,1044423.89,VIP-931,Brand_Бре,Склад-Алм,0,completed
2025-10-21,LUX-10017,Очки Ray-Ban,Аксессуары,Алматы,Ахметова Д.,VIP-клиенты,2,1266042.36,0,2532084.72,773553.65,1758531.07,VIP-933,Brand_Акс,Склад-Алм,0,completed
2026-04-01,LUX-10018,Шелковый платок,Брендовые вещи,Атырау,Ахметова Д.,Бутик,1,266561.65,0,266561.65,99875.45,166686.2,VIP-103,Brand_Бре,Склад-Аты,0,completed
2025-12-02,LUX-10019,Очки Ray-Ban,Аксессуары,Алматы,Ким А.,Бутик,1,1233853.0,0,1233853.0,317896.01,915957.0,VIP-857,Brand_Акс,Склад-Алм,0,completed
2026-01-29,LUX-10020,Очки Ray-Ban,Аксессуары,Шымкент,Ким А.,Бутик,2,909977.65,0,1819955.29,436930.35,1383024.95,VIP-178,Brand_Акс,Склад-Шым,0,completed
