date,order_id,product,category,region,manager,channel,quantity,price,discount,revenue,cost,profit,customer_id,brand,warehouse,returns,status
2026-06-14,ORD-10000,Смартфон X,Электроника,Шымкент,Петров П.,Офлайн-магазин,3,24445.8,0,73337.39,51062.41,22274.98,CUST-704,Brand_Эле,Склад-Шым,0,completed
2026-02-23,ORD-10001,Смартфон X,Электроника,Алматы,Петров П.,Офлайн-магазин,3,70252.05,0,210756.14,101064.96,109691.18,CUST-658,Brand_Эле,Склад-Алм,0,completed
2026-02-21,ORD-10002,Кроссовки спорт,Одежда,Актобе,Смирнова А.,Онлайн,1,14301.98,0,14301.98,7667.29,6634.68,CUST-881,Brand_Оде,Склад-Акт,0,completed
2026-01-10,ORD-10003,Смартфон X,Электроника,Караганда,Иванов И.,Маркетплейс,3,57709.64,0,173128.91,72260.58,100868.34,CUST-227,Brand_Эле,Склад-Кар,0,completed
2026-01-31,ORD-10004,Смарт-часы,Электроника,Шымкент,Лебедева Е.,Маркетплейс,1,78784.99,5,74845.74,49735.39,25110.35,CUST-181,Brand_Эле,Склад-Шым,0,completed
2025-11-18,ORD-10005,Наушники Air,Электроника,Шымкент,Козлов В.,Маркетплейс,2,25702.77,0,51405.55,34342.51,17063.04,CUST-799,Brand_Эле,Склад-Шым,0,completed
2026-06-18,ORD-10006,Смарт-часы,Электроника,Астана,Лебедева Е.,Офлайн-магазин,2,30588.81,0,61177.61,48685.72,12491.9,CUST-670,Brand_Эле,Склад-Аст,0,completed
2025-11-11,ORD-10007,Кофе зерновой,Продукты,Астана,Иванов И.,Маркетплейс,5,1099.36,0,5496.78,4206.43,1290.34,CUST-835,Brand_Про,Склад-Аст,0,completed
2025-12-30,ORD-10008,Кроссовки спорт,Одежда,Караганда,Козлов В.,Офлайн-магазин,1,5088.35,0,5088.35,3177.91,1910.43,CUST-698,Brand_Оде,Склад-Кар,0,completed
2026-02-26,ORD-10009,Мяч фитнес,Спорттовары,Шымкент,Петров П.,Офлайн-магазин,8,4927.59,0,39420.74,16511.24,22909.5,CUST-742,Brand_Спо,Склад-Шым,0,completed
2025-10-11,ORD-10010,Шкаф-купе,Мебель,Алматы,Козлов В.,B2B,2,40103.24,0,80206.47,63237.3,16969.17,CUST-111,Brand_Меб,Склад-Алм,0,completed
2026-07-05,ORD-10011,Смарт-часы,Электроника,Шымкент,Смирнова А.,Онлайн,2,41444.52,0,82889.04,33263.22,49625.82,CUST-836,Brand_Эле,Склад-Шым,0,completed
2025-12-03,ORD-10012,Гантели 5кг,Спорттовары,Актобе,Иванов И.,Маркетплейс,10,4770.71,0,47707.06,26218.16,21488.9,CUST-897,Brand_Спо,Склад-Акт,0,completed
2026-04-19,ORD-10013,Смарт-часы,Электроника,Шымкент,Козлов В.,Онлайн,2,15900.11,15,27030.18,13401.05,13629.13,CUST-680,Brand_Эле,Склад-Шым,0,completed
2025-08-31,ORD-10014,Наушники Air,Электроника,Алматы,Лебедева Е.,Офлайн-магазин,3,18062.85,0,54188.55,33592.64,20595.91,CUST-993,Brand_Эле,Склад-Алм,0,completed
2026-05-28,ORD-10015,Стол письменный,Мебель,Актобе,Петров П.,Маркетплейс,3,27509.04,0,82527.13,47472.91,35054.22,CUST-223,Brand_Меб,Склад-Акт,0,completed
2025-11-25,ORD-10016,Футболка базовая,Одежда,Шымкент,Иванов И.,Офлайн-магазин,1,9563.25,0,9563.25,6533.0,3030.24,CUST-169,Brand_Оде,Склад-Шым,0,completed
2025-08-07,ORD-10017,Кофе зерновой,Продукты,Актобе,Петров П.,Маркетплейс,8,1619.34,0,12954.69,5867.5,7087.19,CUST-684,Brand_Про,Склад-Акт,8,returned
2026-05-13,ORD-10018,Стол письменный,Мебель,Караганда,Козлов В.,Офлайн-магазин,1,8347.34,0,8347.34,4521.91,3825.43,CUST-984,Brand_Меб,Склад-Кар,0,completed
2025-08-18,ORD-10019,Смартфон X,Электроника,Караганда,Смирнова А.,Онлайн,1,32282.01,0,32282.01,18705.66,13576.35,CUST-385,Brand_Эле,Склад-Кар,0,completed
2026-03-15,ORD-10020,Футболка базовая,Одежда,Караганда,Лебедева Е.,Онлайн,3,2095.92,5,5973.37,4704.62,1268.75,CUST-969,Brand_Оде,Склад-Кар,3,returned
2025-11-20,ORD-10021,Кроссовки спорт,Одежда,Караганда,Козлов В.,Офлайн-магазин,1,7399.09,0,7399.09,2966.01,4433.07,CUST-902,Brand_Оде,Склад-Кар,0,completed
2026-03-11,ORD-10022,Сыр пармезан,Продукты,Актобе,Козлов В.,Офлайн-магазин,5,591.97,0,2959.85,1253.18,1706.67,CUST-162,Brand_Про,Склад-Акт,0,completed
2025-12-29,ORD-10023,Смартфон X,Электроника,Актобе,Козлов В.,Офлайн-магазин,3,10680.48,0,32041.43,15198.21,16843.22,CUST-791,Brand_Эле,Склад-Акт,0,completed
2025-11-19,ORD-10024,Стул офисный,Мебель,Актобе,Петров П.,Онлайн,1,41217.98,0,41217.98,26110.31,15107.67,CUST-367,Brand_Меб,Склад-Акт,0,completed
2025-11-03,ORD-10025,Чай зеленый,Продукты,Шымкент,Козлов В.,Офлайн-магазин,5,1592.47,0,7962.35,6143.81,1818.54,CUST-109,Brand_Про,Склад-Шым,5,returned
2026-03-13,ORD-10026,Скакалка,Спорттовары,Алматы,Иванов И.,Офлайн-магазин,5,4109.48,0,20547.39,11087.45,9459.95,CUST-350,Brand_Спо,Склад-Алм,0,completed
2026-01-27,ORD-10027,Чай зеленый,Продукты,Караганда,Лебедева Е.,Маркетплейс,9,1506.55,0,13558.96,9855.22,3703.74,CUST-779,Brand_Про,Склад-Кар,0,completed
2025-09-13,ORD-10028,Куртка зимняя,Одежда,Алматы,Иванов И.,Офлайн-магазин,2,5133.93,0,10267.86,7054.48,3213.38,CUST-749,Brand_Оде,Склад-Алм,0,completed
2025-12-04,ORD-10029,Мяч фитнес,Спорттовары,Шымкент,Иванов И.,Онлайн,5,3853.23,0,19266.13,10276.99,8989.14,CUST-368,Brand_Спо,Склад-Шым,0,completed
2025-10-12,ORD-10030,Шкаф-купе,Мебель,Караганда,Лебедева Е.,Онлайн,1,9709.38,10,8738.44,5402.42,3336.02,CUST-696,Brand_Меб,Склад-Кар,0,completed
